imageid,name,player,team,year,brand,cardNumber,condition,rarity,description,imageUrl,price
11,2023-24 パニーニ・インスタント ビクター・ウェンバンヤマ #495,ビクター・ウェンバンヤマ,サンアントニオ・スパーズ,2024,パニーニ・インスタント,495,PSA 10 (Gem Mint),ベース / インサート,2023-24 パニーニ・インスタント ベースインサート ビクター・ウェンバンヤマ、鑑定10,https://i.ebayimg.com/images/g/61EAAOSwGERmSnjw/s-l1600.webp,US $72.50
12,1985 スター・ゲータレード ダンクコンテスト チャールズ・バークレー PSA 9 ミント ルーキー POP 3,チャールズ・バークレー,フィラデルフィア・76ers,1985,スター・ゲータレード,,PSA 9 (Mint),ベース / ルーキー,1985 スター・ゲータレード ベース ルーキー インサート チャールズ・バークレー、PSA 9,https://i.ebayimg.com/images/g/NSQAAeSwUtNozV9w/s-l1600.webp,"US $1,799.99"
13,1984-85 スター・ゲータレード スラムダンク選手権 ダレル・グリフィス #6,ダレル・グリフィス,ユタ・ジャズ,1985,スター・ゲータレード,6,PSA 7 (NM),ベース / ルーキー / インサート,1984-85 スター・ゲータレード スラムダンク選手権 インサート ダレル・グリフィス、PSA 7,https://i.ebayimg.com/images/g/XFoAAeSwcuVozWA0/s-l1600.webp,US $89.99
14,マラキ・ブランハム 2022-23 パニーニ・インスタント イヤーワン 初鑑定 10 NBA ルーキーカード RC,マラキ・ブランハム,サンアントニオ・スパーズ,2022,パニーニ・インスタント,YO-20,PSA 10 (Gem Mint),ベース / ルーキー,2022-23 パニーニ・インスタント ベース ルーキー インサート マラキ・ブランハム、鑑定10,https://i.ebayimg.com/images/g/NuMAAOSw~Dlj9BQz/s-l1600.webp,US $32.50
15,クーパー・フラッグ 2025 パニーニ・インスタント #17 ダラス・マーベリックス ルーキーカード 初鑑定 10,クーパー・フラッグ,ダラス・マーベリックス,2025,パニーニ・インスタント,17,PSA 10 (Gem Mint),ベース / ルーキー,2025-26 パニーニ・インスタント ベース ルーキー インサート クーパー・フラッグ、鑑定10,https://i.ebayimg.com/images/g/xOgAAeSwngpouMcq/s-l1600.webp,US $39.99
16,クーパー・フラッグ 2025 パニーニ・インスタント サマーリーグ デビュー ルーキーカード 初鑑定 10,クーパー・フラッグ,ダラス・マーベリックス,2025,パニーニ・インスタント,10,PSA 10 (Gem Mint),ベース / ルーキー,2025-26 パニーニ・インスタント ベース ルーキー インサート クーパー・フラッグ、鑑定10,https://i.ebayimg.com/images/g/54gAAeSw8mdouLvS/s-l1600.webp,US $39.99
17,アンソニー・エドワーズ カード 1枚 + モダンカード 8枚 NBA ホットパック リパック ミステリーパック ルーキーズ!,アンソニー・エドワーズ,ミネソタ・ティンバーウルブズ,2025,ホットパック リパック ミステリーパック,6,PSA 10 (Gem Mint),ベース / ルーキー / インサート,2025 HOTパック リパック ミステリーパック 初版 インサート アンソニー・エドワーズ、ベースセット、ルーキー、ホログラム、限定版,https://i.ebayimg.com/images/g/pYgAAOSwMHpoSA3A/s-l1600.webp,US $9.83
18,アレン・アイバーソン 直筆サイン入り 1996 フリーア・ウルトラ ルーキーカード #82 オート 本物,アレン・アイバーソン,フィラデルフィア・76ers,1996,フリーア・ウルトラ,82,PSA 10 (Gem Mint),ルーキー / サイン入り,1996 フリーア・ウルトラ ルーキー インサート アレン・アイバーソン、直筆サイン入り,https://i.ebayimg.com/images/g/cYAAAOSwJeNj7CX9/s-l1600.webp,US $199.99
19,1991 アッパーデック アワードウィナー — ホログラム — マイケル・ジョーダン — ミント PSA 10 — 新品,マイケル・ジョーダン,シカゴ・ブルズ,1991,アッパーデック,AW4,PSA 10 (Gem Mint),ホログラム / インサート / 限定版,1991 アッパーデック アワードウィナー ホログラム インサート マイケル・ジョーダン、PSA 10,https://i.ebayimg.com/images/g/prIAAOSwFcNoLRmq/s-l1600.webp,"US $1,500.00"
20,1991 アッパーデック マイケル・ジョーダン ホログラム #AW1 PSA 8 NM-MT 殿堂入り シカゴ・ブルズ,マイケル・ジョーダン,シカゴ・ブルズ,1991,アッパーデック,AW1,PSA 6 (EX-MT),ホログラム / インサート / ベース,1991 アッパーデック アワードウィナー ホログラム ベース インサート マイケル・ジョーダン、PSA 6,https://i.ebayimg.com/images/g/Bd0AAeSwKfJoxBy0/s-l1600.webp,US $6.50
21,レイカーズ マジック・ジョンソン 直筆サイン 2019 パニーニ・プリズム RW&B #25 カード オート 10! BAS スラブ入り,マジック・ジョンソン,ロサンゼルス・レイカーズ,2019,ベケット,25,PSA 10 (Gem Mint),サイン入り / オリジナル,マジック・ジョンソン オリジナル ベケット 直筆サインカード、ロサンゼルス・レイカーズ,https://i.ebayimg.com/images/g/7BAAAeSwKu1oyYqX/s-l1600.webp,US $119.99
22,ジュリアス・アービング 2019-20 PSA 9 パニーニ・プリズム オート チョイス シグネチャーズ #JEV シクサーズ 殿堂入り,ジュリアス・アービング,フィラデルフィア・76ers,2019,パニーニ・プリズム,SG-JEV,PSA 9 (Mint),インサート / パラレル,2019-20 パニーニ・プリズム シグネチャーズ インサート ジュリアス・アービング、PSA 9、シリアルナンバー入り,https://i.ebayimg.com/images/g/p9UAAeSwPFxoX0V6/s-l1600.webp,US $250.00
23,2023 パニーニ・プリズム #119 ステフィン・カリー - プレミアム・ファクトリーセット /150 PSA 10,ステフィン・カリー,ゴールデンステート・ウォリアーズ,2023,パニーニ・プリズム,119,PSA 10 (Gem Mint),ベースセット / プレミアム・ファクトリーセット,2023 パニーニ・プリズム ベースセット プレミアム・ファクトリーセット インサート ステフィン・カリー、PSA 10、シリアルナンバー入り。,https://i.ebayimg.com/images/g/658AAOSwrKBnfPJr/s-l1600.webp,US $450.00
24,2023 フープス・プレミアムストック ステフィン・カリー ハイボルテージ #5 ケースヒット SSP PSA 10,ステフィン・カリー,ゴールデンステート・ウォリアーズ,2023,パニーニ・プリズム,5,PSA 10 (Gem Mint),プレミアム / インサート,2023-24 パニーニ NBA フープス プレミアムストック チェイス インサート ステフィン・カリー、PSA 10,https://i.ebayimg.com/images/g/i3wAAeSwu4VoNyfj/s-l1600.webp,US $229.99
